1709189741.550742,1
1709189742.924538,2
1709189753.453799,3
1709189765.913289,4
1709189774.796275,5
1709189783.463257,6
1709189799.991388,7
1709189803.716597,8
1709189810.571048,9
1709189817.805729,10
1709189822.801214,11
1709189834.479717,12
1709189843.436594,13
1709189847.068342,14
1709189858.233762,15
1709189897.507665,15
1709189903.06761,16.0
1709189905.459666,17.0
1709189918.114649,18.0
1709189947.543839,19.0
1709189962.625683,20.0
1709190005.658006,21.0
1709190008.206923,22.0
1709190012.625565,23.0
1709190018.963613,23.0
1709190023.654895,24.0
1709190027.033153,25.0
1709190032.283858,26.0
1709190043.381022,27.0
1709190050.810752,28.0
1709190059.99013,29.0
1709190086.129292,30.0
1709190093.443643,31.0
1709190101.694746,32.0
1709190110.508372,33.0
1709190116.104111,34.0
1709190194.88667,35.0
1709190201.920955,36.0
1709190207.153858,37.0
1709190213.982297,38.0
1709190223.53287,39.0
1709190235.640541,40.0
1709190288.416761,41.0
1709190292.20165,42.0
1709190301.775534,43.0
1709190306.750311,44.0
1709190312.244899,45.0
1709190314.235566,46.0
1709190322.145398,47.0
1709190328.159415,48.0
1709190335.010808,49.0
1709190355.095443,50.0
1709190359.298818,51.0
1709190495.002099,52.0
1709190502.538932,53.0
1709190507.386798,54.0
1709190515.844947,55.0
1709190521.85079,56.0
1709190527.715579,57.0
1709190539.187217,58.0
1709190542.192211,59.0
1709190547.207505,60.0
1709190548.041854,60.0
1709190550.564091,61.0
1709190556.263417,62.0
1709190579.764422,63.0
1709190583.294477,64.0
